mz	time	LC_Mode	DSSTox Chemical Name	Molecular_formula
227.12882	183.6	C18_neg	14-Dioxatetradecane-514-dione	C12 H20 O4
227.12882	183.6	C18_neg	18-Dioxacyclotetradecane-27-dione	C12 H20 O4
116.07098	59.3	HILIC_pos	2-Propenamide N-(hydroxymethyl)-2-methyl-	C5 H9 N O2
381.23046	278.1	C18_neg	Urea NN-16-hexanediylbisN-(phenylmethyl)-	C22 H30 N4 O2
171.1382	20.2	HILIC_pos	n-Hexyl methacrylate	C10 H18 O2
171.1382	20.2	HILIC_pos	Prop-2-en-1-yl heptanoate	C10 H18 O2
151.04321	20.6	C18_neg	Tetramethyl orthosilicate	C4 H12 O4 Si
195.12249	25.7	HILIC_pos	Tetraethylene glycol	C8 H18 O5
169.04996	22.6	C18_neg	Ethylene acrylate	C8 H10 O4
229.07248	19.6	C18_neg	(2-((2-Methyl-1-oxoallyl)oxy)ethyl) hydrogen succinate	C10 H14 O6
95.06078	25.3	HILIC_pos	1H-Imidazole 1-ethenyl-	C5 H6 N2
109.06514	23.2	HILIC_pos	Benzyl alcohol	C7 H8 O
109.06514	23.2	HILIC_pos	o-Cresol	C7 H8 O
109.06514	23.2	HILIC_pos	p-Cresol	C7 H8 O
109.06514	23.2	HILIC_pos	m-Cresol	C7 H8 O
197.08149	128.1	C18_neg	22-14-Phenylenebis(oxy)diethanol	C10 H14 O4
197.08149	128.1	C18_neg	14-Butanediol diacrylate	C10 H14 O4
197.08149	128.1	C18_neg	Ethylene glycol dimethacrylate	C10 H14 O4
197.08149	128.1	C18_neg	13-Butylene diacrylate	C10 H14 O4
197.08149	128.1	C18_neg	22-Benzene-13-diylbis(oxy)diethanol	C10 H14 O4
197.08149	128.1	C18_neg	Hexanedioic acid diethenyl ester	C10 H14 O4
179.1067	283.3	HILIC_pos	4-tert-Butylbenzoic acid	C11 H14 O2
179.1067	283.3	HILIC_pos	Butyl benzoate	C11 H14 O2
301.12925	22.5	C18_neg	Tetraethylene glycol diacrylate	C14 H22 O7
225.1858	289.5	C18_neg	2479-Tetramethyl-5-decyne-47-diol	C14 H26 O2
225.1858	289.5	C18_neg	Decyl methacrylate	C14 H26 O2
225.1858	289.5	C18_neg	Dodecanoic acid ethenyl ester	C14 H26 O2
225.1858	289.5	C18_neg	9-Tetradecenoic acid (9Z)-	NA
138.09152	18.4	HILIC_pos	2-Methoxy-5-methylaniline	C8 H11 N O
285.20739	190.4	C18_neg	224-Trimethyl-13-pentanediol diisobutyrate	C16 H30 O4
285.20739	190.4	C18_neg	Peroxide bis(1-oxooctyl)	C16 H30 O4
285.20739	190.4	C18_neg	25-Bis(tert-butylperoxy)-25-dimethyl-3-hexyne	C16 H30 O4
194.11713	22.1	HILIC_pos	Parbenate	C11 H15 N O2
310.97542	211.6	HILIC_pos	Duralink HTS	NA
209.11747	22.7	HILIC_pos	Benzenecarboperoxoic acid 11-dimethylpropyl ester	C12 H16 O3
209.11747	22.7	HILIC_pos	2-Phenoxyethyl isobutyrate	C12 H16 O3
209.11747	22.7	HILIC_pos	Pentyl 2-hydroxybenzoate	C12 H16 O3
127.1121	21.7	HILIC_pos	35-Dimethyl-1-hexyn-3-ol	C8 H14 O
127.1121	21.7	HILIC_pos	1-Octyn-3-ol	NA
200.20104	286	HILIC_pos	Dodecanamide	C12 H25 N O
647.4557	51.6	HILIC_pos	Tris(24-di-tert-butylphenyl) phosphite	C42 H63 O3 P
114.09158	258.6	HILIC_pos	Caprolactam	C6 H11 N O
114.09158	258.6	HILIC_pos	1-Ethyl-2-pyrrolidinone	C6 H11 N O
415.05722	192.3	C18_neg	CI Pigment Orange 36	NA
123.09192	19.3	HILIC_pos	24-Diaminotoluene	C7 H10 N2
123.09192	19.3	HILIC_pos	26-Toluenediamine	C7 H10 N2
173.11775	76.2	C18_neg	Propaneperoxoic acid 22-dimethyl- 11-dimethylethyl ester	C9 H18 O3
964.53541	171.5	HILIC_pos	11-(Isopropylidene)bis(35-dibromo-4-(23-dibromo-2-methylpropoxy)benzene)	C23 H24 Br8 O2
198.18537	21.9	HILIC_pos	Azacyclotridecan-2-one	C12 H23 N O
198.18537	21.9	HILIC_pos	1-Octyl-2-pyrrolidone	C12 H23 N O
213.11288	186.3	C18_neg	33-Dimethyl-15-dioxacycloundecane-611-dione	C11 H18 O4
93.07033	21.9	HILIC_pos	Toluene	C7 H8
249.0325	284.5	C18_neg	Diphenyl phosphate	C12 H11 O4 P
229.14429	110.9	C18_neg	16-Hexanediol diglycidyl ether	C12 H22 O4
229.14429	110.9	C18_neg	Dodecanedioic acid	C12 H22 O4
229.14429	110.9	C18_neg	Dimethyl decanedioate	C12 H22 O4
279.09359	77.3	HILIC_pos	Triphenylphosphine oxide	C18 H15 O P
150.11254	25.2	HILIC_pos	Triethanolamine	C6 H15 N O3
225.113	17.8	C18_neg	16-Hexanediol diacrylate	C12 H18 O4
225.113	17.8	C18_neg	Butane-14-diyl bis(2-methylprop-2-enoate)	C12 H18 O4
225.113	17.8	C18_neg	1-Methyltrimethylene dimethacrylate	NA
126.0914	47.9	HILIC_pos	Isocyanatocyclohexane	C7 H11 N O
254.12134	283.2	C18_neg	N-3-(Trimethoxysilyl)propylaniline	C12 H21 N O3 Si
213.14938	240.8	C18_neg	22-Bis(prop-2-en-1-yloxy)methylbutan-1-ol	C12 H22 O3
141.0912	227.9	HILIC_pos	4-Vinyl-1-cyclohexene dioxide	C8 H12 O2
125.09636	22.4	HILIC_pos	1-Ethynylcyclohexanol	C8 H12 O
395.3898	273.5	C18_neg	2-Ethylhexyl octadecanoate	C26 H52 O2
395.3898	273.5	C18_neg	Ethyl tetracosanate	C26 H52 O2
647.45774	46.7	HILIC_pos	Tris(24-di-tert-butylphenyl) phosphite	C42 H63 O3 P
279.12736	185.5	C18_neg	Tris(2-methoxyethoxy)vinylsilane	C11 H24 O6 Si
